Hero,Anti-Mage,Axe,Bane,Bloodseeker,Crystal Maiden,Drow Ranger,Earthshaker,Juggernaut,Mirana,Morphling,Shadow Fiend,Phantom Lancer,Puck,Pudge,Razor,Sand King,Storm Spirit,Sven,Tiny,Vengeful Spirit,Windranger,Zeus,Kunkka,Lina,Lion,Shadow Shaman,Slardar,Tidehunter,Witch Doctor,Lich,Riki,Enigma,Tinker,Sniper,Necrophos,Warlock,Beastmaster,Queen of Pain,Venomancer,Faceless Void,Wraith King,Death Prophet,Phantom Assassin,Pugna,Templar Assassin,Viper,Luna,Dragon Knight,Dazzle,Clockwerk,Leshrac,Nature's Prophet,Lifestealer,Dark Seer,Clinkz,Omniknight,Enchantress,Huskar,Night Stalker,Broodmother,Bounty Hunter,Weaver,Jakiro,Batrider,Chen,Spectre,Ancient Apparition,Doom,Ursa,Spirit Breaker,Gyrocopter,Alchemist,Invoker,Silencer,Outworld Destroyer,Lycan,Brewmaster,Shadow Demon,Lone Druid,Chaos Knight,Meepo,Treant Protector,Ogre Magi,Undying,Rubick,Disruptor,Nyx Assassin,Naga Siren,Keeper of the Light,Io,Visage,Slark,Medusa,Troll Warlord,Centaur Warrunner,Magnus,Timbersaw,Bristleback,Tusk,Skywrath Mage,Abaddon,Elder Titan,Legion Commander,Techies,Ember Spirit,Earth Spirit,Underlord,Terrorblade,Phoenix,Oracle,Winter Wyvern,Arc Warden,Monkey King,Dark Willow,Pangolier,Grimstroke,Hoodwink,Void Spirit,Snapfire,Mars,Ringmaster,Dawnbreaker,Marci,Primal Beast,Muerta,Kez
Shadow Fiend,0.71707803,0.47206688,0.43331867,0.6167209,0.39051995,0.72714615,0.62840366,0.6401462,0.61846256,0.7839135,1.0000001,0.5813883,0.7844931,0.5014126,0.74898595,0.580669,0.7728218,0.5294386,0.6248277,0.39767042,0.56462216,0.5520771,0.5341641,0.93410844,0.44499564,0.4102867,0.5910794,0.40924245,0.5215839,0.38848263,0.5305755,0.40465608,0.5623413,0.9150545,0.76288706,0.3588371,0.4538822,0.83472735,0.5641241,0.42622864,0.53854823,0.56122917,0.6244755,0.49373847,0.91088843,0.6778633,0.6672362,0.741405,0.4556042,0.33614916,0.70494884,0.52267665,0.63338673,0.40311328,0.6693419,0.3582245,0.47062492,0.8131359,0.39429614,0.5929123,0.45522016,0.48474368,0.4467221,0.41442996,0.36507896,0.5788858,0.35635385,0.47658193,0.6616267,0.32479423,0.6273886,0.63135636,0.7307736,0.4428158,0.8301566,0.56134367,0.31005326,0.44564486,0.7251124,0.4519857,0.792788,0.23878366,0.36749008,0.33538324,0.5383226,0.43445012,0.5686681,0.21918702,0.51495373,0.46075955,0.45302483,0.50375634,0.5802141,0.66110545,0.39506707,0.5488388,0.5737132,0.46190697,0.26035812,0.46840477,0.4086879,0.3648725,0.49227923,0.47288397,0.7832861,0.46772915,0.45308855,0.5416931,0.46356928,0.37914267,0.52856636,0.88421434,0.76034474,0.42783278,0.5602704,0.4417353,0.4921307,0.7957662,0.43199605,0.5122104,0.3601097,0.4027684,0.32388037,0.42009187,0.36487588,0.83743143
Phantom Lancer,0.9393453,0.43647656,0.3456974,0.9168743,0.2777704,0.923103,0.39208823,0.9634065,0.2674723,0.9056915,0.5813883,1.0,0.5125815,0.4772071,0.5762888,0.39466795,0.5059102,0.90599906,0.39331397,0.31543273,0.43111375,0.40355468,0.4828905,0.5232817,0.25009423,0.2615113,0.46899673,0.43176118,0.32410535,0.18996078,0.623754,0.32047388,0.3928039,0.5064532,0.579542,0.20963068,0.40434512,0.537385,0.43364254,0.93416035,0.7565759,0.3370487,0.9223979,0.28268617,0.744253,0.48083967,0.8934833,0.49325088,0.35498983,0.38336748,0.4177015,0.3737651,0.95516264,0.39598188,0.6399029,0.4633516,0.22365762,0.64903307,0.43723273,0.50653726,0.44835192,0.7134041,0.23236369,0.30787796,0.24864113,0.9003658,0.15927699,0.45644104,0.9475198,0.37972102,0.6384889,0.8093816,0.4683274,0.2804002,0.5936554,0.535694,0.39063126,0.27923164,0.67829424,0.71084756,0.74023026,0.27954206,0.41152588,0.29921308,0.29959145,0.23694977,0.41480628,0.7633279,0.343356,0.47128898,0.44978595,0.89649224,0.8135259,0.9565844,0.40695953,0.45092335,0.45470488,0.504081,0.33196625,0.32084998,0.48133478,0.3294457,0.46487904,0.31106123,0.5562252,0.3465737,0.48297757,0.8833887,0.22486559,0.28486326,0.39597106,0.6596022,0.68726575,0.2964893,0.48142207,0.2326494,0.27419448,0.6123878,0.22202837,0.44058308,0.2659227,0.3979832,0.44702274,0.4001836,0.4838757,0.7412892
Puck,0.6026547,0.5273985,0.45647624,0.527886,0.36834255,0.6011277,0.7033606,0.50406647,0.51482135,0.6896456,0.7844931,0.5125815,1.0,0.38581076,0.6945684,0.7152622,0.95355415,0.44182113,0.6207415,0.39426556,0.46458825,0.64386666,0.7702869,0.82156485,0.3892983,0.3359279,0.6628166,0.5605206,0.42737365,0.29281253,0.48434007,0.5499263,0.65133333,0.7648731,0.78769284,0.3104611,0.6247758,0.9326324,0.4931793,0.43805125,0.48399356,0.648301,0.5085576,0.483652,0.7842621,0.7523041,0.58121324,0.6697457,0.6405592,0.40725395,0.8278465,0.44947585,0.56530863,0.54504144,0.55042666,0.46978974,0.4976763,0.8632526,0.48733416,0.61181176,0.5201697,0.38654673,0.38779125,0.6166403,0.47502252,0.550429,0.26829928,0.5730237,0.57421714,0.3643058,0.48087084,0.55057937,0.89658844,0.3898928,0.88954777,0.6093891,0.5503779,0.5266373,0.6846358,0.37799767,0.75130016,0.34823853,0.39348352,0.4139175,0.50160444,0.39186403,0.4839728,0.27640608,0.6566913,0.43273735,0.5727171,0.42422205,0.5085451,0.57547027,0.55449265,0.58658177,0.7247765,0.5725118,0.4593094,0.38551697,0.32136437,0.45885372,0.49081114,0.44655988,0.91915923,0.63157755,0.60248005,0.49043438,0.47534317,0.3545785,0.5102585,0.8323852,0.67380637,0.39272395,0.85440457,0.4115773,0.47001514,0.9126831,0.45327878,0.63032705,0.3203921,0.49200734,0.35896543,0.6829904,0.2992677,0.6536565
Pudge,0.63176817,0.6341908,0.527898,0.5130138,0.44730258,0.47667202,0.73593324,0.56127465,0.54360723,0.37026733,0.5014126,0.4772071,0.38581076,1.0,0.48459882,0.55232084,0.4532819,0.6016327,0.64736176,0.6776262,0.6658523,0.70130044,0.45263585,0.50553006,0.57041603,0.5173949,0.6483845,0.5721989,0.72925675,0.46628103,0.696689,0.53679615,0.5216025,0.6071055,0.5824493,0.40251574,0.46115434,0.53892064,0.7223222,0.48600525,0.5519607,0.52916116,0.48517594,0.42529258,0.39786643,0.59111583,0.4200124,0.56341875,0.53929526,0.6259533,0.6111319,0.5166641,0.4706276,0.4659498,0.61711127,0.7323749,0.38391045,0.55782104,0.6604643,0.5202396,0.7030078,0.6062177,0.46964496,0.47045928,0.33119494,0.3575502,0.28324306,0.6155584,0.47588834,0.66094124,0.6219778,0.5903131,0.5815602,0.43102726,0.5991946,0.56381834,0.5223315,0.36578545,0.5523383,0.572268,0.5765301,0.36771622,0.7385769,0.5582669,0.56342167,0.4789606,0.7887129,0.42095694,0.4381679,0.47728032,0.51663405,0.6036146,0.42506707,0.53083855,0.58875734,0.6298499,0.5079863,0.47085902,0.54206145,0.4991929,0.7927171,0.5714464,0.65594065,0.5189886,0.5451526,0.632034,0.5491446,0.39405715,0.44023377,0.44404122,0.73747957,0.5819148,0.6400181,0.4463589,0.4375367,0.4319924,0.51082605,0.52266437,0.5439929,0.63764316,0.37420413,0.6289937,0.8224769,0.502576,0.3632443,0.6848266
Razor,0.7532764,0.584258,0.42661586,0.727144,0.30603454,0.66287005,0.54264843,0.60592806,0.5303123,0.74341404,0.74898595,0.5762888,0.6945684,0.48459882,0.9999999,0.7080007,0.67563325,0.55703443,0.4565291,0.50894415,0.6328671,0.45877352,0.65807974,0.6959028,0.4238767,0.3122333,0.8120315,0.57091767,0.4585319,0.22487213,0.37995267,0.61455667,0.39029804,0.7024034,0.7698261,0.3136776,0.60411894,0.7149828,0.5976341,0.5485612,0.6441564,0.73503834,0.6263462,0.45453593,0.77093285,0.87344414,0.68190926,0.82220614,0.44973594,0.24762943,0.67339844,0.5470535,0.6455876,0.67860293,0.5803262,0.47780117,0.42509243,0.8239614,0.61339515,0.7702545,0.38793144,0.4963204,0.3300409,0.47056988,0.46405396,0.6323434,0.28027153,0.65014714,0.6642409,0.301977,0.6387296,0.65521306,0.6366686,0.29975724,0.7987489,0.75933903,0.59488404,0.46021062,0.83682054,0.6501722,0.81695825,0.18671115,0.33340737,0.342226,0.44318753,0.30969164,0.43245316,0.20535578,0.45757928,0.41939628,0.7157503,0.48453122,0.65185046,0.7141183,0.5797812,0.68672955,0.7867046,0.715274,0.14049165,0.41522604,0.5219043,0.43341303,0.5365451,0.48052442,0.66605633,0.41312602,0.6352411,0.6121239,0.5691031,0.32154337,0.5936128,0.8045728,0.5642495,0.43618992,0.7057039,0.52057457,0.55093104,0.67365927,0.47839275,0.6989221,0.31215698,0.5844437,0.43759143,0.6022918,0.3079576,0.63341266
Sand King,0.5529168,0.8279873,0.50557464,0.5124823,0.43516442,0.46237066,0.8415498,0.44080403,0.43452504,0.51380897,0.580669,0.39466795,0.7152622,0.55232084,0.7080007,1.0,0.7301991,0.4320599,0.66930026,0.5765847,0.5688505,0.44992977,0.8766027,0.53690296,0.4571266,0.429188,0.90345013,0.8160751,0.48541042,0.33939618,0.5439379,0.7277188,0.4681685,0.5824723,0.7514743,0.42192656,0.86895025,0.75630784,0.63851124,0.45340216,0.67876136,0.68449223,0.49874932,0.35529193,0.5516479,0.74721146,0.4422443,0.8744013,0.60169685,0.44965234,0.5893472,0.5180912,0.4663349,0.7466533,0.4768578,0.5440484,0.4156537,0.8181396,0.7934845,0.77585024,0.57946277,0.36974093,0.48696527,0.4740124,0.45744953,0.45626616,0.33260527,0.81947106,0.49035716,0.5502717,0.46390328,0.6046291,0.704302,0.38200578,0.7176285,0.83993083,0.7674426,0.44750562,0.71277374,0.5941749,0.6492221,0.3452408,0.5339291,0.52929425,0.4755091,0.44834906,0.58348316,0.1580607,0.43557277,0.54547787,0.7035214,0.30016965,0.5748638,0.493961,0.81111455,0.87463063,0.8589263,0.85554,0.40406704,0.339286,0.6218826,0.53908676,0.7245403,0.42331257,0.74788004,0.6981925,0.8416491,0.5172743,0.48098728,0.44106454,0.58196443,0.60677606,0.5941354,0.41124842,0.8520679,0.4358704,0.4939241,0.69949365,0.4593421,0.9141489,0.30819744,0.7951762,0.47400677,0.8223563,0.15243928,0.6548028
Storm Spirit,0.6116176,0.56112343,0.49073058,0.5583997,0.42539212,0.57514924,0.7309523,0.5286295,0.5014135,0.6523115,0.7728218,0.5059102,0.95355415,0.4532819,0.67563325,0.7301991,1.0,0.44183016,0.6515151,0.43029964,0.5445821,0.62055516,0.74803156,0.76267034,0.45615056,0.42021883,0.6568305,0.5550807,0.4844282,0.34552532,0.51536006,0.530761,0.6389352,0.73039246,0.80052257,0.2973024,0.64217544,0.94475895,0.5699473,0.40757406,0.48121884,0.6320979,0.47844473,0.46908382,0.74811935,0.7268563,0.54497945,0.6923256,0.57227355,0.41174376,0.8439868,0.4304113,0.5348184,0.548575,0.57073414,0.45434457,0.46431088,0.89159536,0.47502896,0.62920153,0.58611035,0.36165556,0.4024683,0.63823605,0.4473501,0.47363302,0.2664892,0.582539,0.5585201,0.4306755,0.49521646,0.56856066,0.8544632,0.42053157,0.8876884,0.6113016,0.49263147,0.5228166,0.639311,0.3813427,0.7519001,0.28338966,0.40976864,0.45427006,0.55405164,0.43947202,0.5366492,0.23195186,0.5834698,0.38180488,0.5580551,0.4583917,0.57723695,0.5471674,0.5275028,0.6202845,0.7417932,0.5640245,0.4270021,0.45083892,0.36863267,0.44528463,0.56026775,0.54745996,0.9518884,0.6041992,0.6272764,0.5024203,0.4094964,0.40290835,0.55657476,0.8108398,0.7192616,0.43057925,0.8629711,0.39757517,0.47646528,0.9530582,0.4740662,0.6401939,0.3635742,0.45767906,0.4214625,0.6612839,0.33606946,0.66342247
Sven,0.90677536,0.372858,0.46604234,0.7938094,0.3295374,0.8488656,0.4926429,0.9143391,0.34669366,0.8226499,0.5294386,0.90599906,0.44182113,0.6016327,0.55703443,0.4320599,0.44183016,0.9999998,0.55915165,0.48570496,0.44868442,0.40394205,0.44788143,0.45476872,0.38303515,0.38221204,0.4900691,0.3915103,0.4342245,0.20164153,0.59442544,0.3538716,0.4242746,0.5340337,0.48125222,0.30722907,0.3205647,0.46613503,0.47221088,0.88729686,0.67855674,0.28444225,0.92168707,0.2765366,0.6613602,0.43584022,0.8614157,0.50568086,0.39178395,0.45969072,0.43043524,0.5308666,0.92949396,0.34213048,0.6941617,0.50455683,0.26518682,0.5701486,0.45299208,0.4026204,0.46718913,0.809382,0.3297738,0.33197555,0.3441384,0.7999207,0.2511712,0.4397255,0.91548634,0.3653339,0.8411968,0.82753056,0.4678456,0.30922437,0.5296056,0.43661076,0.37168562,0.38485444,0.560299,0.6527131,0.6762195,0.31120318,0.49178445,0.36251366,0.35988352,0.3063748,0.48195842,0.7864461,0.3422038,0.5316384,0.3706853,0.88692194,0.81231636,0.9440574,0.39677995,0.4407157,0.380956,0.52740854,0.38421828,0.3358855,0.6912471,0.45957002,0.33660704,0.3777308,0.49147436,0.42819858,0.42177534,0.8914412,0.3489299,0.3190965,0.48938826,0.6184423,0.74007213,0.36985075,0.38914785,0.33541757,0.39140615,0.49859542,0.2529187,0.4336495,0.3748622,0.4090343,0.61409354,0.34596595,0.52867323,0.75781107
Tiny,0.5677695,0.42560467,0.5435504,0.38622662,0.39875805,0.45047528,0.864652,0.43717086,0.5437354,0.47130334,0.6248277,0.39331397,0.6207415,0.64736176,0.4565291,0.66930026,0.6515151,0.55915165,1.0,0.6091244,0.5218249,0.4875771,0.64601314,0.6033286,0.5482867,0.521308,0.62212855,0.49830166,0.5805675,0.3900814,0.75018144,0.44116914,0.52625704,0.6702617,0.5678718,0.4102368,0.44899586,0.65088105,0.5173534,0.4315561,0.4534139,0.47449958,0.50575906,0.36859095,0.56996304,0.5224226,0.3559238,0.70345277,0.5052682,0.5691921,0.65015364,0.65903854,0.460492,0.35992086,0.6936978,0.39739627,0.406259,0.678912,0.4632154,0.49693412,0.64826584,0.520485,0.5327585,0.56690985,0.37383744,0.3335394,0.34258237,0.52871686,0.47070125,0.5385896,0.6609584,0.5891635,0.67367345,0.4786914,0.7022793,0.45280713,0.42076847,0.4611491,0.44993553,0.33064598,0.6285861,0.43482357,0.4559319,0.55527997,0.61117834,0.5108908,0.67253697,0.27077886,0.5417532,0.60635185,0.32432133,0.5193046,0.4926935,0.50944024,0.488037,0.62893534,0.4892069,0.44863495,0.6029625,0.4677175,0.65487427,0.56334233,0.40429905,0.5506042,0.7664266,0.7499671,0.4734006,0.45965403,0.3677733,0.44168347,0.60635936,0.6793052,0.85445875,0.4373913,0.5705567,0.43203992,0.58551323,0.66094095,0.5112762,0.5788763,0.38611785,0.48804587,0.605383,0.59863764,0.26748207,0.71609193
Vengeful Spirit,0.4502657,0.5250982,0.90940213,0.32832387,0.7611902,0.35243714,0.6727381,0.36942753,0.64400196,0.3245029,0.39767042,0.31543273,0.39426556,0.6776262,0.50894415,0.5765847,0.43029964,0.48570496,0.6091244,1.0,0.63598776,0.56466925,0.54484403,0.4156798,0.8525859,0.77264833,0.6269423,0.51563233,0.9000465,0.77964175,0.4233489,0.56471294,0.50850403,0.48404,0.56483567,0.824627,0.3648748,0.5039332,0.8226555,0.39644352,0.47899112,0.47110954,0.4158737,0.73070425,0.34445226,0.5763797,0.328756,0.52304137,0.68446755,0.64122134,0.50927204,0.6677486,0.3617128,0.5271021,0.68000793,0.58307,0.7233559,0.5500427,0.5226869,0.40849948,0.5702388,0.611327,0.81277156,0.5511211,0.7955556,0.31037283,0.73216575,0.47149646,0.31453493,0.57190573,0.62727976,0.47130808,0.5846016,0.7010174,0.56836975,0.44275522,0.49414244,0.7760471,0.49045354,0.44037828,0.43709165,0.6340101,0.7894616,0.7278961,0.6937627,0.7822346,0.71751547,0.23876324,0.44974047,0.8084512,0.57865995,0.34393132,0.47380763,0.43285093,0.5028062,0.6096105,0.4412578,0.5389825,0.4920529,0.67153335,0.7268157,0.73942477,0.4294039,0.7619154,0.49697447,0.6041884,0.46892786,0.3602393,0.79442877,0.8512846,0.8804475,0.57805073,0.4633415,0.79254293,0.44785118,0.85927624,0.7707315,0.45605683,0.5947828,0.5795227,0.6115228,0.57514596,0.62201,0.48501596,0.4138611,0.57794964
Windranger,0.59898835,0.5384159,0.5552128,0.5041784,0.4928207,0.49521106,0.61120504,0.4761028,0.6224198,0.49159002,0.56462216,0.43111375,0.46458825,0.6658523,0.6328671,0.5688505,0.5445821,0.44868442,0.5218249,0.63598776,1.0,0.71801895,0.5098112,0.58566755,0.6165877,0.5249454,0.58318603,0.4803571,0.63243073,0.5348142,0.50725216,0.57635677,0.6458077,0.665394,0.62553865,0.5182167,0.41750702,0.639569,0.7188654,0.42204145,0.46284464,0.66660887,0.43366617,0.5728684,0.49181348,0.6745186,0.40701482,0.64879715,0.5620138,0.23416834,0.67495114,0.5175313,0.38979605,0.5848724,0.71046424,0.5492859,0.42015886,0.7044462,0.51890504,0.55834955,0.5243438,0.65777814,0.523653,0.6389677,0.45693544,0.24132842,0.42127603,0.553366,0.3888894,0.42035678,0.55106825,0.55258787,0.5875126,0.5074284,0.6697228,0.52319205,0.43489537,0.48331434,0.5711494,0.43521023,0.65279084,0.06651681,0.5140445,0.36155704,0.56989056,0.49246436,0.58690596,0.23896296,0.6165907,0.61784834,0.61935425,0.5107086,0.59716475,0.510542,0.4578363,0.7030769,0.60386425,0.38376942,0.1329358,0.50789875,0.57838166,0.4108982,0.52344406,0.6132737,0.61590433,0.42719525,0.5117616,0.4182025,0.4733755,0.5615244,0.850965,0.674668,0.57071114,0.5164202,0.5280535,0.48857757,0.61598325,0.5961125,0.73365325,0.5884789,0.4557176,0.44330332,0.40181392,0.49990907,0.49516672,0.6616211
Zeus,0.4859486,0.42306903,0.5591712,0.35540825,0.4753571,0.49263778,0.6553413,0.4246993,0.6526123,0.3987458,0.5520771,0.40355468,0.64386666,0.70130044,0.45877352,0.44992977,0.62055516,0.40394205,0.4875771,0.56466925,0.71801895,1.0,0.49338716,0.70631444,0.53947115,0.47577563,0.4761394,0.4028794,0.68967533,0.52544314,0.5377819,0.48656106,0.8425308,0.72632027,0.67489177,0.512977,0.29478398,0.741756,0.6133222,0.34545985,0.36838543,0.68242216,0.3921299,0.60096276,0.45670804,0.65254194,0.4071648,0.392472,0.83060485,0.43841332,0.83247054,0.49152672,0.38904652,0.41203493,0.59821224,0.6372175,0.48192233,0.6188062,0.4519919,0.36900038,0.5419908,0.6236644,0.52525413,0.64199203,0.44313732,0.31189176,0.39225236,0.3761564,0.37466416,0.43205237,0.4754845,0.3509704,0.8110115,0.5342235,0.7394758,0.3624337,0.3981789,0.48619223,0.5215804,0.34638363,0.51922095,0.3509593,0.6645577,0.42463762,0.6149963,0.48892406,0.6231548,0.34189555,0.7397087,0.5312071,0.52089447,0.47800967,0.28941777,0.4494484,0.4022117,0.45788375,0.46436936,0.23700888,0.470337,0.547039,0.42864743,0.44370568,0.4463559,0.47033805,0.668246,0.6007431,0.3560368,0.269606,0.58041364,0.48026234,0.7670816,0.65931827,0.48689213,0.4961277,0.5518813,0.48807156,0.56541556,0.63522184,0.7291195,0.4449606,0.46416068,0.41824034,0.48136356,0.50732744,0.4746413,0.5676387
Kunkka,0.5601451,0.7272231,0.4980411,0.5115232,0.40190968,0.44366828,0.80652493,0.43321267,0.2795753,0.5543851,0.5341641,0.4828905,0.7702869,0.45263585,0.65807974,0.8766027,0.74803156,0.44788143,0.64601314,0.54484403,0.5098112,0.49338716,1.0,0.5782264,0.3903966,0.35368976,0.86485106,0.7751118,0.40451685,0.30942434,0.5584464,0.55469614,0.45610312,0.49366596,0.8402575,0.3995018,0.75138116,0.7412491,0.48513547,0.5705624,0.75397986,0.6010056,0.5219954,0.38153315,0.632,0.6801842,0.48212504,0.8114402,0.6592058,0.45412162,0.58304495,0.4750763,0.5305515,0.6205096,0.4945619,0.51859355,0.34775534,0.8487496,0.70062566,0.70731354,0.5127085,0.4244156,0.41439456,0.42289183,0.4310939,0.5597918,0.35352138,0.72610575,0.49253294,0.60673136,0.38443962,0.5640216,0.7319499,0.3119552,0.7635728,0.7488039,0.77878433,0.4210014,0.7754983,0.68281054,0.69903004,0.4684899,0.48716292,0.46328035,0.4124641,0.3558525,0.5032017,0.20244402,0.46952438,0.55670935,0.6070341,0.3599088,0.5041879,0.5290346,0.8033404,0.8220359,0.81821716,0.7817278,0.49915168,0.29140672,0.46667695,0.49350595,0.66484714,0.3529859,0.7738515,0.72263056,0.7349287,0.48846194,0.40072477,0.41619375,0.50740516,0.6633945,0.57954013,0.37980455,0.89665234,0.42384312,0.42858064,0.7627953,0.35630667,0.81313163,0.23986839,0.6679991,0.38225225,0.9046389,0.19044517,0.61284786
Lina,0.6458934,0.4291726,0.43899447,0.51273954,0.38057542,0.67557067,0.62436736,0.5316105,0.64877135,0.71694505,0.93410844,0.5232817,0.82156485,0.50553006,0.6959028,0.53690296,0.76267034,0.45476872,0.6033286,0.4156798,0.58566755,0.70631444,0.5782264,1.0000001,0.4132537,0.35706902,0.5574329,0.41374356,0.5181311,0.39755422,0.5315642,0.44450495,0.6222063,0.91607916,0.804443,0.36626056,0.41049433,0.8524374,0.51049423,0.40509996,0.51433474,0.64041185,0.53461987,0.51837134,0.85616016,0.7075481,0.6009511,0.65835565,0.6224362,0.2801602,0.7630449,0.60466534,0.5663824,0.4065964,0.7015214,0.37658173,0.4674835,0.8118387,0.37402096,0.5702701,0.36755627,0.53892297,0.4195827,0.46740884,0.35923135,0.5405548,0.3375891,0.47521356,0.56769955,0.29376715,0.5756278,0.53419185,0.80949116,0.44063687,0.8626587,0.5350805,0.36725456,0.419693,0.7370334,0.42763928,0.73770326,0.32036653,0.36284307,0.31693038,0.54652935,0.42191496,0.50353783,0.24253203,0.61477125,0.49896872,0.50450885,0.47662044,0.47497067,0.5957729,0.4365212,0.5226882,0.55031383,0.41058975,0.29941794,0.45144925,0.36538395,0.29992563,0.46643704,0.41847658,0.7888687,0.5184349,0.41363022,0.46336374,0.47664335,0.36023206,0.5486239,0.8838523,0.7216655,0.41620347,0.60190684,0.46059912,0.4930078,0.7886738,0.5001564,0.48165965,0.2937391,0.41968894,0.27665073,0.49419752,0.39332905,0.7560003
Lion,0.39184156,0.4075072,0.8808097,0.266857,0.7280086,0.3396547,0.59110683,0.36569414,0.71958905,0.30482352,0.44499564,0.25009423,0.3892983,0.57041603,0.4238767,0.4571266,0.45615056,0.38303515,0.5482867,0.8525859,0.6165877,0.53947115,0.3903966,0.4132537,1.0,0.93073374,0.45576078,0.33229852,0.81947637,0.72633743,0.35004497,0.4525201,0.43867505,0.49468234,0.4591622,0.71966165,0.2408798,0.48480076,0.7510334,0.27819186,0.3381359,0.36180854,0.3523108,0.7034385,0.3215682,0.4320616,0.33923444,0.42881328,0.50730073,0.63613313,0.50110376,0.48386046,0.3258702,0.4301439,0.5781496,0.35769823,0.68357944,0.47187278,0.33306223,0.24460502,0.5920058,0.52039653,0.7538355,0.56410533,0.6728394,0.23591925,0.64248323,0.28654715,0.2829493,0.41981107,0.5395984,0.3812934,0.516116,0.6984573,0.5005154,0.2754161,0.26364318,0.9002615,0.36917198,0.26276863,0.37130088,0.45103052,0.6806573,0.5415102,0.8732118,0.7764631,0.7995798,0.09753502,0.4283383,0.7039603,0.46203297,0.2896708,0.3960342,0.37157047,0.29490826,0.39975664,0.32470018,0.33696926,0.45943257,0.7756615,0.4706332,0.5807746,0.2911193,0.87371784,0.48271725,0.48265615,0.3299351,0.2859033,0.7202347,0.75526035,0.83525836,0.5025177,0.41989592,0.94294417,0.35208255,0.85194546,0.9144895,0.4266547,0.61504614,0.42270568,0.7935304,0.30315077,0.51438695,0.26676667,0.46645775,0.4980771
Shadow Shaman,0.34895954,0.41351768,0.8733262,0.21384725,0.7002334,0.3509062,0.5456883,0.3614773,0.6009856,0.26857823,0.4102867,0.2615113,0.3359279,0.5173949,0.3122333,0.429188,0.42021883,0.38221204,0.521308,0.77264833,0.5249454,0.47577563,0.35368976,0.35706902,0.93073374,0.99999994,0.4177291,0.35077867,0.77783364,0.6758034,0.3438929,0.36778075,0.4791516,0.45291507,0.41138723,0.7612864,0.22722064,0.45715564,0.6710897,0.2604318,0.39013347,0.28464636,0.3756626,0.55377597,0.31692982,0.29559734,0.29163763,0.35236278,0.47781438,0.6099661,0.45174474,0.5125968,0.33217692,0.40187418,0.49506292,0.23767534,0.5425045,0.42200804,0.36299285,0.12415892,0.5344584,0.5008107,0.8066756,0.40529656,0.5609894,0.23375598,0.7205952,0.20455651,0.30228433,0.38395417,0.49245828,0.2598943,0.4211165,0.7555067,0.4617632,0.22607756,0.21269904,0.77762794,0.25703073,0.25923997,0.27516574,0.43176836,0.6562187,0.5284578,0.8097207,0.7518828,0.7202052,0.103717074,0.31845134,0.6391496,0.32911125,0.29502875,0.36696374,0.33822545,0.26399192,0.34889236,0.20702413,0.33472964,0.48310694,0.71057004,0.46737707,0.5415919,0.2859702,0.74093556,0.45207772,0.36195445,0.29679635,0.3138421,0.6122242,0.7247387,0.71635634,0.4237553,0.38810456,0.8987258,0.27014035,0.77395785,0.783193,0.35968038,0.46997517,0.37748042,0.907113,0.28419417,0.48675808,0.15950425,0.48047066,0.5076153
Slardar,0.6286199,0.86530125,0.5155912,0.585606,0.39704,0.48104382,0.7808935,0.48359406,0.4111381,0.52854097,0.5910794,0.46899673,0.6628166,0.6483845,0.8120315,0.90345013,0.6568305,0.4900691,0.62212855,0.6269423,0.58318603,0.4761394,0.86485106,0.5574329,0.45576078,0.4177291,1.0000001,0.8847157,0.54209375,0.32510728,0.5521061,0.71165216,0.44065365,0.56168205,0.7890411,0.4387973,0.83573383,0.6922573,0.6621891,0.5318793,0.7577195,0.71808577,0.5420419,0.42154604,0.6187062,0.81513655,0.48038152,0.86813885,0.5756768,0.51266813,0.62528616,0.53547984,0.52825356,0.7812441,0.491103,0.636323,0.41663858,0.80416375,0.89675677,0.7938554,0.6177098,0.43251455,0.4830843,0.43257648,0.47088698,0.5322791,0.39762065,0.8382454,0.52975506,0.6602183,0.49555647,0.5806144,0.6560193,0.38557455,0.7688997,0.8796816,0.8677677,0.4166343,0.7947191,0.7210299,0.7267252,0.39711437,0.5658261,0.5573423,0.44809842,0.40073812,0.6054948,0.17456084,0.45275354,0.50567436,0.7216421,0.39753538,0.5027307,0.566583,0.8773943,0.9016112,0.8678496,0.86367154,0.45866427,0.36219868,0.66377884,0.6429565,0.7850969,0.42550534,0.70149696,0.63126415,0.8498365,0.47875378,0.5257478,0.43610555,0.617652,0.6894606,0.54601455,0.41952765,0.7841801,0.49655247,0.4937753,0.67084837,0.42984238,0.9389571,0.33580855,0.8367126,0.58659095,0.8316185,0.17278485,0.6673906
